,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,DATE,company_name
HPQ UN Equity,126033000000,127245000000,120357000000,112298000000,56651000000,51463000000,48238000000,52056000000,58472000000,58756000000,56639000000,63487000000,SALES_REV_TURN,HPQ UN Equity
HPQ UN Equity.1,12.93232725,11.52186726,-4.953596384,10.45610786,15.16301566,15.50822921,8.045524275,7.149992316,7.454850185,7.864728709,7.922103144,9.957944146,EBITDA_TO_REVENUE,HPQ UN Equity
HPQ UN Equity.3,4820000000,4984000000,5095000000,4611000000,4334000000,4061000000,332000000,354000000,528000000,744000000,789000000,785000000,CF_DEPR_AMORT,HPQ UN Equity
HPQ UN Equity.4,-4755000000,-4202000000,3392000000,872000000,1567000000,3186000000,-9936000000,246000000,-3650000000,-1372000000,-456000000,-1354000000,CHNG_WORK_CAP,HPQ UN Equity
HPQ UN Equity.5,3.279299866,3.567134269,3.079172794,2.848670502,6.801292122,7.001146455,0.897632572,0.772245274,0.933780271,1.142011029,1.024029379,0.916723109,CAP_EXPEND_TO_SALES,HPQ UN Equity
HPQ UN Equity.6,-3531000000,-3540000000,-3089000000,-2546000000,-3010000000,-3179000000,-427000000,-333000000,-374000000,-671000000,-577000000,-582000000,NET_CAP_EXP,HPQ UN Equity
HD UN Equity,66176000000,67997000000,70395000000,74754000000,78812000000,83176000000,88519000000,94595000000,100904000000,108203000000,110225000000,132110000000,SALES_REV_TURN,HD UN Equity
HD UN Equity.1,9.987004352,11.11372561,11.85169401,12.641464,13.85956453,14.73381745,15.4057321,16.27993023,16.59299929,16.34150624,17.19392152,16.32427523,EBITDA_TO_REVENUE,HD UN Equity
HD UN Equity.2,34.20391763,36.69637777,36.00856955,37.19706412,36.40014173,36.39735365,36.4032302,36.29813466,36.99810191,23.59851608,23.6017669,24.21957828,EFF_TAX_RATE,HD UN Equity
HD UN Equity.3,1806000000,1718000000,1682000000,1684000000,1757000000,1786000000,1863000000,1973000000,2062000000,2152000000,2296000000,2519000000,CF_DEPR_AMORT,HD UN Equity
HD UN Equity.4,1328000000,-180000000,1787000000,-1234000000,620000000,-497000000,434000000,-876000000,-852000000,-926000000,-378000000,3876000000,CHNG_WORK_CAP,HD UN Equity
HD UN Equity.5,1.459743714,1.611835816,1.734498189,1.755090029,1.762421966,1.733673175,1.697940555,1.713621227,1.880004757,2.256869033,2.429575868,1.864355461,CAP_EXPEND_TO_SALES,HD UN Equity
HD UN Equity.6,-788000000,-1012000000,-1165000000,-1262000000,-1301000000,-1394000000,-1460000000,-1583000000,-1850000000,-2409000000,-2678000000,-2463000000,NET_CAP_EXP,HD UN Equity
MPWR UW Equity,218840000,196519000,213813000,238091000,282535000,333067000,388665000,470929000,582382000,627921000,844452000,1207798000,SALES_REV_TURN,MPWR UW Equity
MPWR UW Equity.1,17.5991592,11.46199604,12.56471777,15.33783301,17.17521723,16.64800175,18.04638956,20.27927777,21.83309237,19.05765216,21.61579344,24.69320201,EBITDA_TO_REVENUE,MPWR UW Equity
MPWR UW Equity.2,5.91024825,3.096313565,11.92845165,4.619485983,2.464827435,17.22482408,7.935177424,21.38913002,11.15274894,3.784476662,2.933117596,11.09253946,EFF_TAX_RATE,MPWR UW Equity
MPWR UW Equity.3,8016000,9108000,9586000,12603000,13226000,14379000,15693000,18077000,13664000,15596000,22165000,33373000,CF_DEPR_AMORT,MPWR UW Equity
MPWR UW Equity.4,15826000,-9968000,5406000,62756000,17454000,17594000,41418000,53190000,117118000,56610000,138048000,202879000,CHNG_WORK_CAP,MPWR UW Equity
MPWR UW Equity.5,10.40897459,10.6971845,9.849260803,6.620997854,3.366308599,4.811044024,9.54858297,13.96601186,3.867908005,15.25765184,6.588769995,7.819602284,CAP_EXPEND_TO_SALES,MPWR UW Equity
MPWR UW Equity.6,-22779000,-21022000,-21046000,-15676000,-9511000,-15684000,-37112000,-65770000,-22526000,-86538000,-55610000,-94420000,NET_CAP_EXP,MPWR UW Equity
IBM UN Equity,99870000000,106916000000,102874000000,98367000000,92793000000,81741000000,79919000000,79139000000,79591000000,57714000000,55179000000,57351000000,SALES_REV_TURN,IBM UN Equity
IBM UN Equity.1,23.00991289,23.47730929,25.03839649,24.56921529,24.01258716,23.07532328,19.83883682,20.48800212,20.94583558,24.59195343,21.5480527,23.97517044,EBITDA_TO_REVENUE,IBM UN Equity
IBM UN Equity.3,4830000000,4815000000,4676000000,4678000000,4492000000,3855000000,4381000000,4541000000,4480000000,6059000000,6695000000,6417000000,CF_DEPR_AMORT,IBM UN Equity
IBM UN Equity.4,-5379000000,1250000000,-2996000000,5389000000,-3401000000,439000000,-622000000,4759000000,-1453000000,-10200000000,-1423000000,-3375000000,CHNG_WORK_CAP,IBM UN Equity
IBM UN Equity.5,4.190447582,3.842268697,3.967960806,3.68314577,4.030476437,4.378463684,4.46326906,4.080162752,4.265557664,3.960910698,4.744558618,3.595403742,CAP_EXPEND_TO_SALES,IBM UN Equity
IBM UN Equity.6,-3415000000,-3500000000,-3672000000,-3251000000,-3336000000,-3209000000,-3143000000,-2769000000,-3147000000,-1749000000,-2430000000,-1675000000,NET_CAP_EXP,IBM UN Equity
MCD UN Equity,24074600000,27006000000,27567000000,28105700000,27441300000,25413000000,24621900000,22820400000,21257900000,21364400000,19207800000,23222900000,SALES_REV_TURN,MCD UN Equity
MCD UN Equity.1,36.34245221,36.8240391,36.61297929,36.82313552,34.96080725,34.23916893,37.61285685,47.83483199,48.47421429,57.54666642,54.95007237,59.35692786,EBITDA_TO_REVENUE,MCD UN Equity
MCD UN Equity.2,29.34159965,31.31599311,32.35796509,31.91663112,35.46120456,30.91050536,31.74337314,39.43780253,24.20388685,24.85252117,22.96480857,17.33914701,EFF_TAX_RATE,MCD UN Equity
