,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,DATE,company_name
RHI UN Equity.5,1.105101488,1.496832387,1.217548203,1.265339816,1.338228171,1.47316952,1.579994206,0.773773166,0.732448536,0.978922803,0.653298101,0.566607093,CAP_EXPEND_TO_SALES,RHI UN Equity
RHI UN Equity.6,-35088000,-56535000,-50056000,-53725000,-62830000,-75057000,-82956000,-40753000,-42484000,-59464000,-33377000,-36611000,NET_CAP_EXP,RHI UN Equity
EIX UN Equity,9996000000,10588000000,11862000000,12581000000,13413000000,11524000000,11869000000,12320000000,12657000000,12347000000,13578000000,14905000000,SALES_REV_TURN,EIX UN Equity
EIX UN Equity.1,30.94237695,32.94295429,32.43129321,26.52412368,31.96152986,34.82297813,35.30204735,28.98538961,10.96626373,30.30695716,25.06996612,27.62160349,EBITDA_TO_REVENUE,EIX UN Equity
EIX UN Equity.3,1274000000,1427000000,1562000000,1622000000,1815000000,2005000000,2098000000,2115000000,1940000000,1803000000,2029000000,2288000000,CF_DEPR_AMORT,EIX UN Equity
EIX UN Equity.4,-173000000,-334000000,-1208000000,-497000000,109000000,-813000000,-1516000000,450000000,1303000000,73000000,-3253000000,2098000000,CHNG_WORK_CAP,EIX UN Equity
EIX UN Equity.5,40.0060024,40.5081224,36.78974878,31.26142596,29.44904197,33.41721624,29.95197574,29.60227273,34.76337205,38.64096542,38.93798792,35.21637035,CAP_EXPEND_TO_SALES,EIX UN Equity
EIX UN Equity.6,-3999000000,-4289000000,-4250000000,-3752000000,-3950000000,-3851000000,-3555000000,-3647000000,-4400000000,-4771000000,-5287000000,-5249000000,NET_CAP_EXP,EIX UN Equity
SLB UN Equity,26672000000,36579000000,41731000000,45266000000,48580000000,35475000000,27810000000,30440000000,32815000000,32917000000,23601000000,22929000000,SALES_REV_TURN,SLB UN Equity
SLB UN Equity.1,24.78629274,25.86183329,25.81773741,28.26845756,24.31247427,19.92670895,9.201725998,9.842312746,20.13103764,-19.15727436,-29.3716368,26.53844476,EBITDA_TO_REVENUE,SLB UN Equity
SLB UN Equity.3,2757000000,3274000000,3647000000,3879000000,4094000000,4078000000,4094000000,3837000000,3556000000,3589000000,2566000000,2120000000,CF_DEPR_AMORT,SLB UN Equity
SLB UN Equity.4,842000000,2768000000,1787000000,912000000,-2182000000,2273000000,-3923000000,-5653000000,-970000000,187000000,-4000000,-133000000,CHNG_WORK_CAP,SLB UN Equity
SLB UN Equity.5,10.91781644,10.9461713,11.24823273,8.710732117,8.18443804,6.793516561,7.389428263,6.921813403,6.58235563,5.237415317,4.728613194,4.976230974,CAP_EXPEND_TO_SALES,SLB UN Equity
SLB UN Equity.6,-2912000000,-4004000000,-4694000000,-3943000000,-3976000000,-2410000000,-2055000000,-2107000000,-2160000000,-1724000000,-1116000000,-1141000000,NET_CAP_EXP,SLB UN Equity
SCHW UN Equity,4474000000,4884000000,5049000000,5539000000,6156000000,6501000000,7649000000,8960000000,10989000000,11785000000,12109000000,18996000000,SALES_REV_TURN,SCHW UN Equity
SCHW UN Equity.1,25.1229325,35.25798526,35.57140028,36.32424625,39.24626381,40.53222581,44.42410773,47.55580357,52.0975521,54.28935087,45.32166157,50.39481996,EBITDA_TO_REVENUE,SCHW UN Equity
SCHW UN Equity.2,41.72015404,37.93103448,36,37.18475073,37.54137116,36.50724002,36.88606749,35.50684932,23.12582201,23.59735974,23.27906977,24.08920005,EFF_TAX_RATE,SCHW UN Equity
SCHW UN Equity.3,146000000,155000000,196000000,202000000,199000000,224000000,234000000,269000000,306000000,349000000,604000000,1164000000,CF_DEPR_AMORT,SCHW UN Equity
SCHW UN Equity.5,2.883325883,3.685503686,2.93127352,4.495396281,6.497725796,4.091678203,4.52346712,4.464285714,5.187005187,6.007636826,5.211000083,4.822067804,CAP_EXPEND_TO_SALES,SCHW UN Equity
SCHW UN Equity.6,-129000000,-180000000,-148000000,-249000000,-400000000,-266000000,-346000000,-400000000,-570000000,-708000000,-631000000,-916000000,NET_CAP_EXP,SCHW UN Equity
SHW UN Equity,7776424000,8765699000,9534462000,10185532000,11129533000,11339304000,11855602000,14983800000,17534500000,17900800000,18361700000,19944600000,SALES_REV_TURN,SHW UN Equity
SHW UN Equity.1,11.83037345,10.91104087,11.70958571,13.09857944,13.50443905,15.99745452,16.27935891,15.330557,13.33143232,18.51872542,21.27907547,18.09763044,EBITDA_TO_REVENUE,SHW UN Equity
SHW UN Equity.3,175311000,180904000,179202000,187794000,198945000,198560000,197478000,605600000,596300000,574900000,581400000,572600000,CF_DEPR_AMORT,SHW UN Equity
SHW UN Equity.4,-226569000,-50850000,1173870000,-642642000,-745260000,630421000,282798000,-378319000,-373000000,63000000,-112800000,-662800000,CHNG_WORK_CAP,SHW UN Equity
SHW UN Equity.5,1.60950586,1.754577701,1.647832882,1.636438823,1.801917475,2.06661714,2.016143929,1.486939228,1.431463686,1.837348051,1.654530899,1.865166511,CAP_EXPEND_TO_SALES,SHW UN Equity
SHW UN Equity.6,-116827000,-140959000,-147435000,-163635000,-199029000,-223040000,-200592000,-175600000,-212600000,-322000000,-243100000,-357200000,NET_CAP_EXP,SHW UN Equity
WST UN Equity,1104700000,1192300000,1266400000,1368400000,1421400000,1399800000,1509100000,1599100000,1717400000,1839900000,2146900000,2831600000,SALES_REV_TURN,WST UN Equity
WST UN Equity.1,14.83660722,15.54139059,16.74036639,18.09412452,19.13606304,15.60937277,18.9450666,20.16759427,20.07103761,22.44143703,24.6308631,31.33564063,EBITDA_TO_REVENUE,WST UN Equity
WST UN Equity.2,17.23700887,23.73737374,28.83597884,27.32834806,27.92899408,22.65288544,28.66174921,36.37589928,17.19983382,20.21932831,18.06628458,14.31432768,EFF_TAX_RATE,WST UN Equity
WST UN Equity.3,73200000,75700000,76900000,85200000,90000000,89900000,90700000,96700000,104400000,103400000,109100000,122300000,CF_DEPR_AMORT,WST UN Equity
WST UN Equity.4,40800000,-38100000,66700000,118300000,-7200000,-47200000,41500000,63100000,146700000,106400000,153200000,277600000,CHNG_WORK_CAP,WST UN Equity
WST UN Equity.5,6.436136508,8.001341944,10.3679722,11.10055539,7.872520051,9.401343049,11.27824531,8.179601026,6.096424828,6.869938584,8.123340631,8.949004097,CAP_EXPEND_TO_SALES,WST UN Equity
WST UN Equity.6,-71100000,-95400000,-131300000,-151900000,-111900000,-131600000,-170200000,-130800000,-104700000,-126400000,-174400000,-253400000,NET_CAP_EXP,WST UN Equity
SJM UN Equity,4605289000,4825700000,5525782000,5897700000,5610600000,5692700000,7811200000,7392300000,7357100000,7838000000,7801000000,8002700000,SALES_REV_TURN,SJM UN Equity
SJM UN Equity.1,21.207377,21.21764718,18.5544598,19.69072689,20.94963106,18.2549581,20.16847603,19.77192484,19.80535809,17.54146466,22.00999872,23.50456721,EBITDA_TO_REVENUE,SJM UN Equity
SJM UN Equity.3,185752000,239600000,246996000,250900000,256400000,267200000,430100000,419000000,413100000,446300000,446500000,452500000,CF_DEPR_AMORT,SJM UN Equity
SJM UN Equity.4,407078000,409590000,-127830000,-28093000,-345100000,308000000,-600900000,-551200000,712000000,-1237500000,1101900000,-1311400000,CHNG_WORK_CAP,SJM UN Equity
SJM UN Equity.5,2.974471309,3.732101042,4.962989854,3.501364939,4.981641892,4.351186607,2.578349037,2.602708223,4.375365293,4.590456749,3.452121523,3.832456546,CAP_EXPEND_TO_SALES,SJM UN Equity
SJM UN Equity.6,-136778000,-174300000,-270205000,-203200000,-268800000,-245100000,-197400000,-191900000,-308500000,-359800000,-269300000,-306700000,NET_CAP_EXP,SJM UN Equity
AME UN Equity,2470952000,2989914000,3334213000,3594136000,4021964000,3974295000,3840087000,4300170000,4845872000,5158557000,4540029000,5546514000,SALES_REV_TURN,AME UN Equity
AME UN Equity.1,22.463164,24.1636716,25.5335517,25.97942871,25.78765001,26.60034044,25.27794292,25.2745124,26.31167311,28.24161873,29.24335946,29.97309662,EBITDA_TO_REVENUE,AME UN Equity
AME UN Equity.2,30.10904615,30.93155026,30.6944413,28.66962382,27.38111805,26.72697736,26.10650942,14.466525,21.24151476,19.48599109,19.39095027,19.05843014,EFF_TAX_RATE,AME UN Equity
AME UN Equity.3,72896000,86532000,105471000,118657000,138584000,149460000,179716000,183227000,199490000,234042000,255275000,292112000,CF_DEPR_AMORT,AME UN Equity
AME UN Equity.4,-121515000,6611000,-145470000,209810000,147876000,-47654000,408943000,-207757000,-218552000,22473000,846642000,-881104000,CHNG_WORK_CAP,AME UN Equity
AME UN Equity.5,1.585745089,1.699580657,1.72235547,1.761591659,1.773437057,1.738245399,1.647879332,1.745837955,1.693730251,1.984004442,1.634328768,1.995325352,CAP_EXPEND_TO_SALES,AME UN Equity
AME UN Equity.6,-39183000,-50816000,-57427000,-50515000,-70377000,-69083000,-61448000,-68784000,-79506000,-91040000,-64691000,-108330000,NET_CAP_EXP,AME UN Equity
SO UN Equity,17456000000,17657000000,16537000000,17087000000,18467000000,17489000000,19896000000,23031000000,23495000000,21419000000,20375000000,23113000000,SALES_REV_TURN,SO UN Equity
SO UN Equity.1,32.26970669,35.56096732,39.95888009,32.49839059,32.13840905,38.17828349,37.23864093,25.14002866,32.9431794,53.11639199,44.65766871,34.54333059,EBITDA_TO_REVENUE,SO UN Equity
SO UN Equity.2,33.46379648,34.95841698,35.58282209,33.17702227,32.48005319,32.90162579,27.32758621,13.29588015,16.33321208,27.48394986,11.24141876,10.36490683,EFF_TAX_RATE,SO UN Equity
SO UN Equity.3,1831000000,2048000000,2145000000,2298000000,2293000000,2395000000,2923000000,3457000000,3549000000,3331000000,3905000000,3973000000,CF_DEPR_AMORT,SO UN Equity
SO UN Equity.4,-878000000,284000000,-547000000,915000000,-3160000000,494000000,-592000000,-327000000,-1181000000,1974000000,-733000000,1506000000,CHNG_WORK_CAP,SO UN Equity
SO UN Equity.5,24.15215399,26.18225067,29.9993953,32.75004389,29.3388206,33.43244325,38.00261359,33.61556163,35.7310066,37.13525375,38.32147239,33.25833946,CAP_EXPEND_TO_SALES,SO UN Equity
SO UN Equity.6,-4198000000,-4598000000,-4961000000,-5596000000,-5418000000,-5847000000,-7561000000,-7645000000,-5439000000,-2832000000,-6759000000,-6770000000,NET_CAP_EXP,SO UN Equity
TFC UN Equity,11072000000,9998000000,10737000000,10444000000,9998000000,10346000000,11538000000,12156000000,12996000000,14664000000,24427000000,23064000000,SALES_REV_TURN,TFC UN Equity
TFC UN Equity.2,11.86790506,18.18181818,27.36389685,44.65428937,29.45314998,27.21974631,30.22857143,27.39025857,19.77832512,19.45757651,17.92435593,19.46703365,EFF_TAX_RATE,TFC UN Equity
TFC UN Equity.3,382000000,363000000,391000000,421000000,424000000,461000000,555000000,550000000,555000000,630000000,1608000000,1384000000,CF_DEPR_AMORT,TFC UN Equity
LUV UN Equity,12104000000,15658000000,17088000000,17699000000,18605000000,19820000000,20425000000,21146000000,21965000000,22428000000,9048000000,15790000000,SALES_REV_TURN,LUV UN Equity
LUV UN Equity.1,13.35095836,8.992208456,8.58497191,12.11932878,17.00080623,25.88799193,24.38678091,21.87174879,20.06373776,19.39539861,-25.79575597,20.50031666,EBITDA_TO_REVENUE,LUV UN Equity
LUV UN Equity.3,628000000,715000000,844000000,867000000,938000000,1015000000,1221000000,1218000000,1201000000,1219000000,1255000000,1272000000,CF_DEPR_AMORT,LUV UN Equity
LUV UN Equity.4,311000000,-1162000000,-235000000,-797000000,-299000000,-1863000000,1036000000,298000000,-829000000,-101000000,10645000000,1205000000,CHNG_WORK_CAP,LUV UN Equity
LUV UN Equity.5,4.073033708,6.182143313,7.888576779,8.175603141,9.395323838,10.29767911,9.977968176,10.03972382,8.750284544,4.579097557,5.691865606,3.198226726,CAP_EXPEND_TO_SALES,LUV UN Equity
LUV UN Equity.6,-493000000,-968000000,-1348000000,-1447000000,-1748000000,-2041000000,-2038000000,-2123000000,-1922000000,-1027000000,300000000,-505000000,NET_CAP_EXP,LUV UN Equity
WRB UN Equity,4516503000,4910489000,5576332000,6019773000,6728393000,7206457000,8044532000,7684764000,7691651000,7902196000,8098925000,9455466000,SALES_REV_TURN,WRB UN Equity
WRB UN Equity.2,25.48279892,23.76697084,27.25137051,27.69928801,31.77843637,31.1357458,22.76625639,28.39564165,20.07501595,19.80666417,24.37805228,19.63434549,EFF_TAX_RATE,WRB UN Equity
WRB UN Equity.3,82867000,88012000,103419000,103090000,88836000,85139000,86051000,112956000,131108000,113387000,135065000,129682000,CF_DEPR_AMORT,WRB UN Equity
WRB UN Equity.5,1.098305481,0.92292234,0.727288117,1.049042879,0.623596154,0.88201456,0.631845333,1.505823731,0.64823534,0.765065812,0.471309464,0.704714078,CAP_EXPEND_TO_SALES,WRB UN Equity
WRB UN Equity.6,-49605000,-45320000,-40556000,-63150000,-41958000,-63562000,-50829000,-115719000,-49860000,-60457000,-38171000,-66634000,NET_CAP_EXP,WRB UN Equity
PSA UN Equity,1613777000,1735888000,1842504000,1964942000,2177296000,2381696000,2560549000,2668528000,2754280000,2855108000,2915068000,3415824000,SALES_REV_TURN,PSA UN Equity
PSA UN Equity.1,64.88089742,64.59742794,66.76159183,68.11926255,68.54892491,69.61497185,70.60243721,70.36343632,68.83243534,69.3427359,67.38803349,70.08475847,EBITDA_TO_REVENUE,PSA UN Equity
PSA UN Equity.3,354386000,358525000,358103000,387402000,437114000,426008000,433314000,454526000,483646000,512918000,553257000,713428000,CF_DEPR_AMORT,PSA UN Equity
PSA UN Equity.5,12.52986007,9.572564589,16.49602932,66.71194366,29.06086265,19.78203767,29.97517329,27.95387569,24.03615464,31.86369833,39.50772332,163.923112,CAP_EXPEND_TO_SALES,PSA UN Equity
PSA UN Equity.6,-109494000,-82957000,-216182000,-1241203000,-534533000,-390541000,-685096000,-617655000,-466868000,-721678000,-979883000,-5312791000,NET_CAP_EXP,PSA UN Equity
ANET UN Equity,71719000,139848000,193408000,361224000,584106000,837591000,1129167000,1646186000,2151369000,2410706000,2317512000,2948037000,SALES_REV_TURN,ANET UN Equity
SYY UN Equity,37243495000,39323489000,42380939000,44411233000,46516712000,48680752000,50366919000,55371139000,58727324000,60113922000,52893310000,51297843000,SALES_REV_TURN,SYY UN Equity
SYY UN Equity.1,6.35236838,5.935612682,5.444841607,4.888461439,4.589529028,3.661371131,4.98980293,5.337009593,5.243818022,5.147035657,3.173442917,4.496604272,EBITDA_TO_REVENUE,SYY UN Equity
SYY UN Equity.2,36.20296185,36.95983592,37.13095613,35.86714961,36.87192672,31.87769244,33.73221485,35.31403045,26.86082984,16.53001542,26.55529954,10.34994049,EFF_TAX_RATE,SYY UN Equity
SYY UN Equity.3,389976000,402588000,416943000,512548000,547776000,553021000,662710000,901992000,765498000,763935000,805765000,737916000,CF_DEPR_AMORT,SYY UN Equity
SYY UN Equity.4,-53465000,90747000,503422000,-203084000,-143803000,-219653000,3524754000,-3681891000,-522845000,623615000,3592057000,-2216656000,CHNG_WORK_CAP,SYY UN Equity
SYY UN Equity.5,1.596531153,1.618477953,1.85107036,1.152550752,1.124769954,1.115081378,1.047008653,1.239595234,1.17120099,1.151798081,1.362030472,0.917535655,CAP_EXPEND_TO_SALES,SYY UN Equity
SYY UN Equity.6,-572894000,-617373000,-776316000,-496335000,-497416000,-518358000,-503835000,-662663000,-665560000,-671450000,-691706000,-411529000,NET_CAP_EXP,SYY UN Equity
TXN UW Equity,13966000000,13735000000,12825000000,12205000000,13045000000,13000000000,13370000000,14961000000,15784000000,14383000000,14461000000,18344000000,SALES_REV_TURN,TXN UW Equity
TXN UW Equity.1,38.85865674,29.85074627,26.3079922,33.83039738,39.68570333,41.96153846,43.45549738,46.7014237,48.57450583,47.54919002,48.10179102,54.42106411,EBITDA_TO_REVENUE,TXN UW Equity
TXN UW Equity.2,29.07053395,24.33164129,9.095607235,21.49600581,27.18120805,29.17457306,27.07910751,39.44078947,16.54202812,12.4127095,7.013461858,12.89382218,EFF_TAX_RATE,TXN UW Equity
TXN UW Equity.3,913000000,1108000000,1401000000,1297000000,1230000000,1133000000,955000000,904000000,954000000,1050000000,992000000,954000000,CF_DEPR_AMORT,TXN UW Equity
TXN UW Equity.4,552000000,-750000000,471000000,472000000,-509000000,-244000000,674000000,1283000000,-853000000,1015000000,1211000000,3267000000,CHNG_WORK_CAP,TXN UW Equity
TXN UW Equity.5,8.585135329,5.941026574,3.859649123,3.375665711,2.951322346,4.238461538,3.97157816,4.645411403,7.165484034,5.888896614,4.487933061,13.42128216,CAP_EXPEND_TO_SALES,TXN UW Equity
TXN UW Equity.6,-1199000000,-816000000,-495000000,-412000000,-243000000,-441000000,-531000000,-655000000,-1122000000,-817000000,-645000000,-2387000000,NET_CAP_EXP,TXN UW Equity
TMO UN Equity,10393100000,11558800000,12509900000,13090300000,16889600000,16965000000,18273000000,20918000000,24358000000,25542000000,32218000000,39211000000,SALES_REV_TURN,TMO UN Equity
TMO UN Equity.1,18.54884491,18.25795065,19.71078906,19.93460807,24.7951402,23.71942234,23.02303946,23.86939478,24.83783562,27.71513585,32.10317214,32.8326235,EBITDA_TO_REVENUE,TMO UN Equity
TMO UN Equity.3,739700000,859600000,983700000,999900000,1684800000,1688000000,1758000000,2033000000,2267000000,2277000000,2325000000,2592000000,CF_DEPR_AMORT,TMO UN Equity
TMO UN Equity.4,-466400000,-716400000,1032700000,4013200000,-5564700000,404900000,560100000,218000000,2105000000,1218000000,5957000000,-4976000000,CHNG_WORK_CAP,TMO UN Equity
TMO UN Equity.5,2.361181938,2.257154722,2.518805106,2.157322598,2.531735506,2.4933687,2.42981448,2.428530452,3.11191395,3.6254013,4.575082252,6.434418913,CAP_EXPEND_TO_SALES,TMO UN Equity
TMO UN Equity.6,-235200000,-252700000,-302300000,-261700000,-378300000,-405000000,-418000000,-501000000,-708000000,-890000000,-1466000000,-2503000000,NET_CAP_EXP,TMO UN Equity
TJX UN Equity,20288444000,21942193000,23191455000,25878372000,27422696000,29078407000,30944938000,33183744000,35864664000,38972934000,41716977000,32136962000,SALES_REV_TURN,TJX UN Equity
TJX UN Equity.1,11.95897034,12.12860082,12.64587754,13.97095227,14.21958293,14.42814938,13.96479127,13.58592629,12.86540144,12.92652999,16.8651578,10.18572944,EBITDA_TO_REVENUE,TJX UN Equity
TJX UN Equity.3,435218000,458052000,485701000,508929000,548823000,588975000,616696000,658796000,725957000,819655000,867303000,870758000,CF_DEPR_AMORT,TJX UN Equity
TJX UN Equity.4,1050632000,57536000,102803000,-118262000,599208000,97655000,-277480000,622788000,367072000,-422342000,-1197473000,3195294000,CHNG_WORK_CAP,TJX UN Equity
TJX UN Equity.5,2.115894151,3.222713427,3.463905132,3.780098686,3.452169692,3.134704043,2.874072651,3.088099402,2.948910939,2.886975356,2.931938237,1.767500612,CAP_EXPEND_TO_SALES,TJX UN Equity
TJX UN Equity.6,-429282000,-707134000,-803330000,-978228000,-946678000,-911522000,-889380000,-1024747000,-1057617000,-1125139000,-1223116000,-568021000,NET_CAP_EXP,TJX UN Equity
GL UN Equity,3367632000,3377401000,3589516000,3771938000,3620095000,3766065000,3934629000,4155573000,4303751000,4527532000,4737921000,5112869000,SALES_REV_TURN,GL UN Equity
GL UN Equity.3,433488000,364583000,385167000,403389000,415914000,445625000,469063000,490403000,516690000,551726000,575770000,603838000,CF_DEPR_AMORT,GL UN Equity
GL UN Equity.5,0.2726248,0.159471736,0.130017529,0.296081219,0.53498596,0.981316042,0.639501208,0.488139662,1.047737195,0.932141396,0.881314821,0.747994912,CAP_EXPEND_TO_SALES,GL UN Equity
GL UN Equity.6,-9104000,-2297000,-4611000,-10598000,-10615000,-36957000,-25072000,-20267000,-43105000,-42203000,-41756000,-38244000,NET_CAP_EXP,GL UN Equity
JCI UN Equity,11020000000,10557000000,10403000000,10058000000,38749000000,17100000000,20837000000,22835000000,23400000000,23968000000,22317000000,23668000000,SALES_REV_TURN,JCI UN Equity
JCI UN Equity.1,9.655172414,13.28976035,10.60271076,10.8470869,7.019535988,11.60818713,10.21740174,10.41821765,11.08547009,8.507176235,9.786261594,16.00473213,EBITDA_TO_REVENUE,JCI UN Equity
JCI UN Equity.3,449000000,421000000,418000000,379000000,955000000,860000000,953000000,919000000,824000000,825000000,822000000,845000000,CF_DEPR_AMORT,JCI UN Equity
JCI UN Equity.4,-1209000000,10501000000,-11349000000,271000000,-199000000,-1286000000,755000000,-340000000,135000000,2750000000,-1518000000,-905000000,CHNG_WORK_CAP,JCI UN Equity
JCI UN Equity.5,3.185117967,3.514255944,3.902720369,2.684430304,3.094273401,6.637426901,5.99414503,3.328224217,2.756410256,2.444926569,1.985033831,2.332262971,CAP_EXPEND_TO_SALES,JCI UN Equity
JCI UN Equity.6,-331000000,-365000000,-398000000,-265000000,-1120000000,-1098000000,-1217000000,-731000000,-597000000,-559000000,-316000000,-428000000,NET_CAP_EXP,JCI UN Equity
ULTA UW Equity,1222771000,1454838000,1776151000,2220256000,2670573000,3241369000,3924116000,4854737000,5884506000,6716615000,7398068000,6151953000,SALES_REV_TURN,ULTA UW Equity
ULTA UW Equity.1,10.65767834,12.63508377,15.32110727,16.58416867,16.24636361,16.72685214,17.10820985,17.82010024,17.63961155,16.87683454,20.07292985,13.62994808,EBITDA_TO_REVENUE,ULTA UW Equity
ULTA UW Equity.2,40.32539309,39.87081919,38.51785203,38.32976522,38.10030942,37.48374093,36.9367807,37.50934096,29.43665892,23.34680803,22.09402417,23.90895125,EFF_TAX_RATE,ULTA UW Equity
ULTA UW Equity.3,62166000,64936000,75931000,88233000,106283000,131764000,165049000,210295000,252713000,279472000,295599000,297772000,CF_DEPR_AMORT,ULTA UW Equity
ULTA UW Equity.4,-23278000,104615000,174345000,152880000,167629000,164875000,78185000,27948000,44683000,39548000,-173069000,253008000,CHNG_WORK_CAP,ULTA UW Equity
ULTA UW Equity.5,5.569726466,6.675313678,7.242402251,8.493525071,8.463502027,7.684006357,7.623806228,7.692424945,7.489396731,4.755371567,4.035296783,2.468581928,CAP_EXPEND_TO_SALES,ULTA UW Equity
ULTA UW Equity.6,-68105000,-97115000,-128636000,-188578000,-226024000,-249067000,-299167000,-373447000,-440714000,-319400000,-298534000,-151866000,NET_CAP_EXP,ULTA UW Equity
UNP UN Equity,16965000000,19557000000,20926000000,21963000000,23988000000,21813000000,19941000000,21240000000,22832000000,21708000000,19533000000,21804000000,SALES_REV_TURN,UNP UN Equity
UNP UN Equity.1,38.12555261,37.53643197,40.64321896,41.99335246,44.42637986,46.13762435,46.54229978,48.07438795,46.899089,51.29906025,53.0435673,54.34323977,EBITDA_TO_REVENUE,UNP UN Equity
UNP UN Equity.3,1487000000,1617000000,1760000000,1777000000,1904000000,2012000000,2038000000,2105000000,2191000000,2216000000,2210000000,2208000000,CF_DEPR_AMORT,UNP UN Equity
UNP UN Equity.4,-518000000,-70000000,85000000,-296000000,715000000,10000000,-968000000,111000000,-530000000,-429000000,933000000,-2234000000,CHNG_WORK_CAP,UNP UN Equity
UNP UN Equity.5,14.63012084,16.23970957,17.86294562,15.91767973,18.11739203,21.31756292,17.57685171,15.24482109,15.05343378,15.90657822,14.98489735,13.46541919,CAP_EXPEND_TO_SALES,UNP UN Equity
UNP UN Equity.6,-2415000000,-3068000000,-3658000000,-3398000000,-4208000000,-4399000000,-3376000000,-3070000000,-3374000000,-3379000000,-2778000000,-2758000000,NET_CAP_EXP,UNP UN Equity
UNH UN Equity,94155000000,101862000000,110618000000,122489000000,130474000000,157107000000,184840000000,201159000000,226247000000,242155000000,257141000000,287597000000,SALES_REV_TURN,UNH UN Equity
UNH UN Equity.1,9.482236737,9.412734877,9.549078812,8.97876544,9.007158514,8.092573851,8.107011469,8.676718417,8.739121403,9.665297021,10.26518525,9.83077014,EBITDA_TO_REVENUE,UNH UN Equity
UNH UN Equity.2,37.23418664,35.39389371,35.90814196,36.36567583,41.80820215,42.64490275,40.37764478,22.81965343,22.34069242,20.8108559,23.97550863,20.51994621,EFF_TAX_RATE,UNH UN Equity
UNH UN Equity.3,1064000000,1124000000,1309000000,1375000000,1478000000,1693000000,2055000000,2245000000,2428000000,2720000000,2891000000,3103000000,CF_DEPR_AMORT,UNH UN Equity
UNH UN Equity.4,-1344000000,1735000000,-2492000000,-1437000000,434000000,-4192000000,-4114000000,1994000000,-1138000000,-4631000000,446000000,2168000000,CHNG_WORK_CAP,UNH UN Equity
UNH UN Equity.5,0.932504912,1.047495631,0.967292846,1.067034591,1.168815243,0.990407811,0.92241939,1.00567213,0.911835295,0.855237348,0.797616872,0.853277329,CAP_EXPEND_TO_SALES,UNH UN Equity
UNH UN Equity.6,-878000000,-1018000000,-1070000000,-1307000000,-1525000000,-1556000000,-1705000000,-2023000000,-2063000000,-2071000000,-2051000000,-2454000000,NET_CAP_EXP,UNH UN Equity
MRO UN Equity,11763000000,14717000000,11989000000,11389000000,10924000000,4688000000,3223000000,4487000000,6052000000,5125000000,3122000000,5616000000,SALES_REV_TURN,MRO UN Equity
MRO UN Equity.1,50.46331718,45.05673711,41.4046209,41.68934937,36.94617356,9.023037543,35.65001551,44.61778471,64.16060806,59.12195122,43.94618834,56.71296296,EBITDA_TO_REVENUE,MRO UN Equity
MRO UN Equity.3,2056000000,2263000000,2008000000,2500000000,2861000000,2721000000,2156000000,2372000000,2441000000,2397000000,2316000000,2066000000,CF_DEPR_AMORT,MRO UN Equity
MRO UN Equity.4,1136000000,-3886000000,-149000000,-39000000,1572000000,647000000,564000000,-827000000,491000000,-699000000,9000000,-215000000,CHNG_WORK_CAP,MRO UN Equity
MRO UN Equity.5,30.06035875,20.28946117,36.37501043,39.01132672,47.23544489,74.3387372,37.35650016,43.99375975,45.48909451,49.75609756,43.0172966,18.62535613,CAP_EXPEND_TO_SALES,MRO UN Equity
MRO UN Equity.6,-2168000000,-2468000000,-3894000000,-3993000000,-1400000000,-3260000000,15000000,-187000000,-1489000000,-2550000000,-1343000000,-1046000000,NET_CAP_EXP,MRO UN Equity
BIO UN Equity,1927118000,2073529000,2069235000,2132694000,2175044000,2019441000,2068172000,2160153000,2289415000,2311659000,2545626000,2922545000,SALES_REV_TURN,BIO UN Equity
BIO UN Equity.1,20.38842458,20.06781675,19.06868964,14.84568344,13.78698546,14.78171435,9.481513143,12.40421396,1.518248111,17.83398849,23.23424572,23.04258788,EBITDA_TO_REVENUE,BIO UN Equity
BIO UN Equity.3,108900000,120956000,130400000,147157000,149889000,131800000,142900000,148700000,138100000,134200000,138100000,133800000,CF_DEPR_AMORT,BIO UN Equity
BIO UN Equity.4,166017000,30321000,125242000,-194275000,-401000,66639000,36957000,100751000,98730000,-298023000,233639000,-200149000,CHNG_WORK_CAP,BIO UN Equity
BIO UN Equity.5,4.528160704,4.961975453,7.365862263,5.001092515,5.563059874,5.54608924,6.838696201,5.153894192,5.670662593,4.262393372,3.885881115,4.133486396,CAP_EXPEND_TO_SALES,BIO UN Equity
BIO UN Equity.6,-87263000,-102654000,-146092000,-105444000,-120774000,-111921000,-141038000,-111246000,-125510000,-98403000,-98850000,-120751000,NET_CAP_EXP,BIO UN Equity
VTR UN Equity,1000634000,1731704000,2469615000,2516617000,2776813000,3286398000,3443522000,3574149000,3745810000,3872750000,3795357000,3828007000,SALES_REV_TURN,VTR UN Equity
VTR UN Equity.1,61.10845724,60.56751038,55.93685655,55.69512564,54.11030559,52.48360059,53.72229363,54.32512746,50.13567159,49.59943193,44.88355114,41.88644378,EBITDA_TO_REVENUE,VTR UN Equity
VTR UN Equity.3,206064000,459704000,764775000,769881000,828467000,973663000,898924000,887948000,919639000,1045620000,1109763000,1197403000,CF_DEPR_AMORT,VTR UN Equity
VTR UN Equity.5,29.41095346,36.36123726,67.40107264,63.37472091,59.71370776,87.57152968,48.63328882,30.67379116,19.45216121,39.21688722,16.00099806,47.07465268,CAP_EXPEND_TO_SALES,VTR UN Equity
